text,label
Government announces new education policy for rural students,1
Scientists discover new species in Amazon rainforest,1
Prime Minister addresses nation on economic growth,1
New metro rail project inaugurated in the city,1
Health ministry releases guidelines for disease prevention,1
Stock market sees steady growth this quarter,1
University introduces AI and Data Science courses,1
Researchers develop vaccine for rare disease,1
Electric vehicles adoption increases in urban areas,1
Supreme Court delivers landmark judgment on privacy,1
NASA successfully launches new satellite,1
Weather department predicts normal monsoon this year,1
Indian cricket team wins international series,1
New startup creates jobs for local youth,1
Government increases budget for healthcare sector,1
Scientists confirm water found on Mars surface,1
Railways introduce high-speed train service,1
Tech company announces breakthrough in AI research,1
Farmers receive subsidies for sustainable farming,1
Education board releases exam schedule officially,1
Finance minister presents annual union budget,1
New bridge reduces travel time significantly,1
Researchers publish study on climate change effects,1
State government launches women safety app,1
Medical college opens new research center,1
Digital payments usage rises across the country,1
New law introduced to protect consumer rights,1
Scientists warn about rising global temperatures,1
City police launch traffic awareness campaign,1
ISRO plans new lunar mission next year,1
Celebrity claims drinking salt water cures cancer,0
Fake news spreads about nationwide internet shutdown,0
Actor falsely reported dead on social media,0
WhatsApp forward claims ATM cash will stop tomorrow,0
Viral post says earth will go dark for 10 days,0
Man claims alien invasion coming next week,0
Social media rumor says exams cancelled permanently,0
Fake website announces free laptops from government,0
False message claims mobile radiation causes COVID,0
Hoax news spreads about demonetization returning,0
Viral video claims miracle pill cures diabetes overnight,0
Fake article says drinking cola cleans kidneys,0
Rumor says vaccines contain tracking chips,0
False report claims tsunami will hit city tonight,0
Fake tweet says prime minister resigns suddenly,0
Hoax message claims schools closed for entire year,0
Social media post says earth is flat proven again,0
Fake news claims oxygen cylinders explode automatically,0
False claim says eating garlic cures all diseases,0
Rumor spreads about lockdown starting tomorrow,0
Fake post says banks will close permanently,0
Viral claim says sun will not rise tomorrow,0
Hoax news about free money from government link,0
False article claims mobile phones cause brain cancer instantly,0
Fake message says recharge plans doubling automatically,0
Rumor claims meteor will destroy earth tonight,0
Hoax post claims AI robots replacing all humans next week,0
Fake news says drinking bleach kills viruses,0
False claim says exam results already leaked online,0
Fake article says moon turning green this weekend,0
Viral rumor says currency notes banned from tomorrow,0
Fake message claims power grid shutting down permanently,0
False news says city submerged underwater tomorrow,0
Hoax says online classes cancelled forever,0
Fake claim says eating chocolate reduces intelligence,0
False post claims petrol prices drop to zero,0
Fake article says world ending due to solar storm,0
Rumor says government giving free houses via WhatsApp,0
Fake message claims internet will be paid hourly,0
Hoax news about miracle stone curing cancer,0
False article says laptops will explode if overcharged,0
Fake claim says drinking lemon water changes blood type,0
Hoax message says exams conducted by aliens,0
Fake news claims COVID spreads via mobile signals,0
False rumor says schools turning fully online forever,0
Fake post says ATM machines removed nationwide,0
Hoax claims earth axis shifted permanently,0
False news says government banning smartphones,0
Fake message claims free flights for all citizens,0
Hoax article says eating rice causes instant weight gain,0
False post claims new virus spreads via SMS,0
Fake rumor says electricity free for everyone permanently,0
Hoax news claims AI controls human minds now,0
dehli is capital of india,1
